bestVendorBuylist,bestVendorBuylistPrice,countForTrade,date,fair_price,lowestPrice,lowestPriceVendor,name,quantity,setName
ABUGames,0.1,0,2020-02-08_1130,0.35000000000000003,0.25,Card Kingdom,Guildpact Informant,0,War_of_the_Spark
ABUGames,0.02,0,2020-02-08_1130,0.1,0.1,TCG Player,Huatli's Raptor,0,War_of_the_Spark
Miniature Market,0.5,0,2020-02-08_1130,0.09,0.09,TCG Player,"Huatli, the Sun's Heart",0,War_of_the_Spark
ChannelFireball,0.1,0,2020-02-08_1130,0.14,0.14,TCG Player,Ignite the Beacon,0,War_of_the_Spark
Card Kingdom,4.0,0,2020-02-08_1130,4.78,4.78,TCG Player,"Ilharg, the Raze-Boar",0,War_of_the_Spark
ABUGames,0.05,0,2020-02-08_1130,0.18,0.18,TCG Player,Interplanar Beacon,0,War_of_the_Spark
UNDEFINED,0.0,0,2020-02-08_1130,0.04,0.04,TCG Player,Invade the City,0,War_of_the_Spark
UNDEFINED,0.0,0,2020-02-08_1130,0.02,0.02,TCG Player,Iron Bully,0,War_of_the_Spark
Card Kingdom,0.02,0,2020-02-08_1130,0.05,0.05,TCG Player,Island,0,War_of_the_Spark
Miniature Market,0.1,0,2020-02-08_1130,0.34,0.34,TCG Player,Jace's Projection,0,War_of_the_Spark
UNDEFINED,0.0,0,2020-02-08_1130,0.0,999999.0,Unknown,"Jace, Arcane Strategist",0,War_of_the_Spark
Miniature Market,5.0,0,2020-02-08_1130,5.67,5.67,TCG Player,"Jace, Wielder of Mysteries",0,War_of_the_Spark
CoolStuff,0.25,0,2020-02-08_1130,0.19,0.19,TCG Player,"Jaya, Venerated Firemage",0,War_of_the_Spark
CoolStuff,0.35,0,2020-02-08_1130,0.22,0.22,TCG Player,"Jiang Yanggu, Wildcrafter",0,War_of_the_Spark
Card Kingdom,1.25,0,2020-02-08_1130,1.78,1.78,TCG Player,Karn's Bastion,0,War_of_the_Spark
Miniature Market,11.0,0,2020-02-08_1130,4.69,4.49,StrikeZone,"Karn, the Great Creator",0,War_of_the_Spark
CoolStuff,0.5,0,2020-02-08_1130,0.19,0.19,TCG Player,"Kasmina, Enigmatic Mentor",0,War_of_the_Spark
Card Kingdom,0.05,0,2020-02-08_1130,0.16,0.15,Miniature Market,Kaya's Ghostform,0,War_of_the_Spark
Miniature Market,0.25,0,2020-02-08_1130,0.1,0.1,TCG Player,"Kaya, Bane of the Dead",0,War_of_the_Spark
CoolStuff,1.0,0,2020-02-08_1130,0.35000000000000003,0.25,ABUGames,"Kiora, Behemoth Beckoner",0,War_of_the_Spark
TCG Player,0.26,0,2020-02-08_1130,0.42,0.39,Card Kingdom,"Krenko, Tin Street Kingpin",0,War_of_the_Spark
TCG Player,0.01,0,2020-02-08_1130,0.01,0.01,TCG Player,Lazotep Behemoth,0,War_of_the_Spark
