name,isFoil,Qtty,Bought_price,Current_price,Bought_date
"Chandra, Awakened Inferno",False,1,9.61,9.44,2020-04-08
Underworld Breach (Extended Art),True,1,18.54,14.18,2020-04-08
Breeding Pool,False,1,19.61,19.49,2020-04-10
"Kroxa, Titan of Death's Hunger (Extended Art)",True,2,75.035,73.89,2020-04-11
Embercleave,True,1,10.44,9.4,2020-04-10
Veil of Summer,True,1,29.5,29.5,2020-04-11
Dryad of the Ilysian Grove (Extended Art),True,1,30.6,30.6,2020-04-11
Fabled Passage,True,1,12.74,12.74,2020-04-11
Lotus Field,True,1,10.99,10.99,2020-04-12
"Heliod, Sun-Crowned",True,1,11.66,11.66,2020-04-12
Idyllic Tutor (Extended Art),True,1,16.0,16.0,2020-04-12
"Klothys, God of Destiny (Showcase)",True,1,9.18,9.18,2020-04-12
