http://www.mtgprice.com/spoiler_lists/Throne_of_Eldraine;Throne
http://www.mtgprice.com/spoiler_lists/Throne_of_Eldraine_(Foil);ThroneF
http://www.mtgprice.com/spoiler_lists/Core_Set_2020;Core
http://www.mtgprice.com/spoiler_lists/Core_Set_2020_(Foil);CoreF
http://www.mtgprice.com/spoiler_lists/War_of_the_Spark;Spark
http://www.mtgprice.com/spoiler_lists/War_of_the_Spark_(Foil);SparkF
http://www.mtgprice.com/spoiler_lists/Ravnica_Allegiance;Alleg
http://www.mtgprice.com/spoiler_lists/Ravnica_Allegiance_(Foil);AllegF
http://www.mtgprice.com/spoiler_lists/Guilds_of_Ravnica;Guilds
http://www.mtgprice.com/spoiler_lists/Guilds_of_Ravnica_(Foil);GuildsF
