absoluteChangeSinceOneWeekAgo,absoluteChangeSinceYesterday,bestVendorBuylist,bestVendorBuylistPrice,cardId,countForTrade,fair_price,fullImageUrl,isFoil,lowestPrice,lowestPriceVendor,name,percentageChangeSinceOneWeekAgo,quantity,setName,setUrl,url
-0.40999999642372104,0,UNDEFINED,0,BanehoundWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Banehound.full.jpg,True,999999,Unknown,Banehound,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Banehound
-0.180000007152557,0,UNDEFINED,0,Battlefield_PromotionWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Battlefield Promotion.full.jpg,True,999999,Unknown,Battlefield Promotion,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Battlefield_Promotion
-0.519999980926513,0,UNDEFINED,0,Bioessence_HydraWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Bioessence Hydra.full.jpg,True,999999,Unknown,Bioessence Hydra,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Bioessence_Hydra
-9.979999542236328,0,UNDEFINED,0,Blast_ZoneWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Blast Zone.full.jpg,True,999999,Unknown,Blast Zone,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Blast_Zone
-0.159999996423721,0,UNDEFINED,0,Bleeding_EdgeWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Bleeding Edge.full.jpg,True,999999,Unknown,Bleeding Edge,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Bleeding_Edge
-0.07999999821186,0,UNDEFINED,0,BlindblastWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Blindblast.full.jpg,True,999999,Unknown,Blindblast,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Blindblast
-0.20999999344348902,0,UNDEFINED,0,Bloom_HulkWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Bloom Hulk.full.jpg,True,999999,Unknown,Bloom Hulk,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Bloom_Hulk
-3.569999933242798,0,UNDEFINED,0,Bolas's_CitadelWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Bolas's Citadel.full.jpg,True,999999,Unknown,Bolas's Citadel,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Bolas's_Citadel
-0.49000000953674305,0,UNDEFINED,0,Bolt_BendWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Bolt Bend.full.jpg,True,999999,Unknown,Bolt Bend,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Bolt_Bend
-0.20999999344348902,0,UNDEFINED,0,Bond_of_DisciplineWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Bond of Discipline.full.jpg,True,999999,Unknown,Bond of Discipline,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Bond_of_Discipline
-1.129999995231628,0,UNDEFINED,0,Bond_of_FlourishingWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Bond of Flourishing.full.jpg,True,999999,Unknown,Bond of Flourishing,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Bond_of_Flourishing
-0.370000004768371,0,UNDEFINED,0,Bond_of_InsightWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Bond of Insight.full.jpg,True,999999,Unknown,Bond of Insight,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Bond_of_Insight
-0.10999999940395301,0,UNDEFINED,0,Bond_of_PassionWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Bond of Passion.full.jpg,True,999999,Unknown,Bond of Passion,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Bond_of_Passion
-0.46000000834465005,0,UNDEFINED,0,Bond_of_RevivalWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Bond of Revival.full.jpg,True,999999,Unknown,Bond of Revival,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Bond_of_Revival
-0.05999999865889501,0,UNDEFINED,0,Bulwark_GiantWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Bulwark Giant.full.jpg,True,999999,Unknown,Bulwark Giant,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Bulwark_Giant
-0.44999998807907104,0,UNDEFINED,0,Burning_ProphetWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Burning Prophet.full.jpg,True,999999,Unknown,Burning Prophet,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Burning_Prophet
-0.46000000834465005,0,UNDEFINED,0,Callous_DismissalWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Callous Dismissal.full.jpg,True,999999,Unknown,Callous Dismissal,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Callous_Dismissal
-2.769999980926513,0,UNDEFINED,0,Casualties_of_WarWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Casualties of War.full.jpg,True,999999,Unknown,Casualties of War,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Casualties_of_War
-0.090000003576278,0,UNDEFINED,0,Centaur_NurturerWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Centaur Nurturer.full.jpg,True,999999,Unknown,Centaur Nurturer,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Centaur_Nurturer
-0.070000000298023,0,UNDEFINED,0,Chainwhip_CyclopsWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Chainwhip Cyclops.full.jpg,True,999999,Unknown,Chainwhip Cyclops,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Chainwhip_Cyclops
-0.11999999731779001,0,UNDEFINED,0,Challenger_TrollWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Challenger Troll.full.jpg,True,999999,Unknown,Challenger Troll,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Challenger_Troll
-0.140000000596046,0,UNDEFINED,0,Chandra's_PyrohelixWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Chandra's Pyrohelix.full.jpg,True,999999,Unknown,Chandra's Pyrohelix,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Chandra's_Pyrohelix
-0.540000021457672,0,UNDEFINED,0,Chandra's_TriumphWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Chandra's Triumph.full.jpg,True,999999,Unknown,Chandra's Triumph,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Chandra's_Triumph
-2.230000019073486,0,UNDEFINED,0,"Chandra,_Fire_ArtisanWar_of_the_Spark_FoiltrueNM-M",0,0,"http://s.mtgprice.com/sets/War_of_the_Spark/img/Chandra, Fire Artisan.full.jpg",True,999999,Unknown,"Chandra, Fire Artisan",-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),"/sets/War_of_the_Spark_Foil/Chandra,_Fire_Artisan"
-0.05999999865889501,0,UNDEFINED,0,Charity_ExtractorWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Charity Extractor.full.jpg,True,999999,Unknown,Charity Extractor,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Charity_Extractor
-0.370000004768371,0,UNDEFINED,0,Charmed_StrayWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Charmed Stray.full.jpg,True,999999,Unknown,Charmed Stray,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Charmed_Stray
-1.399999976158142,0,UNDEFINED,0,Command_the_DreadhordeWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Command the Dreadhorde.full.jpg,True,999999,Unknown,Command the Dreadhorde,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Command_the_Dreadhorde
-0.370000004768371,0,UNDEFINED,0,Commence_the_EndgameWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Commence the Endgame.full.jpg,True,999999,Unknown,Commence the Endgame,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Commence_the_Endgame
-0.8199999928474421,0,UNDEFINED,0,Contentious_PlanWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Contentious Plan.full.jpg,True,999999,Unknown,Contentious Plan,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Contentious_Plan
-0.159999996423721,0,UNDEFINED,0,Courage_in_CrisisWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Courage in Crisis.full.jpg,True,999999,Unknown,Courage in Crisis,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Courage_in_Crisis
-3.77999997138977,0,UNDEFINED,0,Cruel_CelebrantWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Cruel Celebrant.full.jpg,True,999999,Unknown,Cruel Celebrant,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Cruel_Celebrant
-0.07999999821186,0,UNDEFINED,0,Crush_DissentWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Crush Dissent.full.jpg,True,999999,Unknown,Crush Dissent,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Crush_Dissent
-0.129999995231628,0,UNDEFINED,0,Cyclops_ElectromancerWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Cyclops Electromancer.full.jpg,True,999999,Unknown,Cyclops Electromancer,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Cyclops_Electromancer
-0.10000000149011601,0,UNDEFINED,0,Davriel's_ShadowfugueWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Davriel's Shadowfugue.full.jpg,True,999999,Unknown,Davriel's Shadowfugue,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Davriel's_Shadowfugue
-1.75,0,UNDEFINED,0,"Davriel,_Rogue_ShadowmageWar_of_the_Spark_FoiltrueNM-M",0,0,"http://s.mtgprice.com/sets/War_of_the_Spark/img/Davriel, Rogue Shadowmage.full.jpg",True,999999,Unknown,"Davriel, Rogue Shadowmage",-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),"/sets/War_of_the_Spark_Foil/Davriel,_Rogue_Shadowmage"
-2.0,0,UNDEFINED,0,DeathsproutWar_of_the_Spark_FoiltrueNM-M,0,0,http://s.mtgprice.com/sets/War_of_the_Spark/img/Deathsprout.full.jpg,True,999999,Unknown,Deathsprout,-100.0,0,War_of_the_Spark_Foil,/spoiler_lists/War_of_the_Spar_(Foil),/sets/War_of_the_Spark_Foil/Deathsprout
