name,isFoil,Qtty,Bought_price,Current_price,Bought_date
Prime Speaker Vannifar,True,1,10.13,10.13,2020-04-20
Hydroid Krasis,False,1,16.2,16.2,2020-04-20
Cavalier of Thorns,True,1,9.5,9.5,2020-04-20
Chromatic Lantern,True,1,8.56,8.56,2020-04-20
Divine Visitation,False,1,9.86,9.86,2020-04-20
"Narset, Parter of Veils",True,1,14.44,14.44,2020-04-20
Finale of Devastation,False,1,13.32,13.32,2020-04-20
"Purphoros, Bronze-Blooded (Showcase)",True,1,7.21,7.21,2020-04-20
Temple of Plenty (Extended Art),True,1,7.18,7.18,2020-04-20
"Heliod, Sun-Crowned (Showcase)",False,1,10.9,10.9,2020-04-20
Nyxbloom Ancient (Extended Art),False,1,17.99,17.99,2020-04-20
"Uro, Titan of Nature's Wrath (Extended Art)",False,1,46.94,46.94,2020-04-20
Questing Beast,True,1,12.13,12.13,2020-04-20
Brazen Borrower,False,1,13.33,13.33,2020-04-20
