name,isFoil,Qtty,Bought_price,Current_price,Bought_date
Godless Shrine,False,1,8.22,8.21,2020-05-07
Assassin's Trophy,True,1,22.56,21.56,2020-05-07
Watery Grave,False,1,9.02,8.86,2020-05-07
Shadowspear (Extended Art),True,1,31.74,31.74,2020-05-07
Overgrown Tomb,False,1,11.0,10.99,2020-05-08
Temple Garden,False,1,9.5,9.48,2020-05-08
Dryad of the Ilysian Grove,True,1,9.88,8.98,2020-05-08
Hydroid Krasis,False,1,17.5,17.5,2020-05-10
Leyline of the Void,False,1,8.98,8.97,2020-05-10
"Thassa, Deep-Dwelling",True,1,10.99,10.99,2020-05-10
"Uro, Titan of Nature's Wrath",False,1,43.49,42.99,2020-05-10
Agent of Treachery,False,1,8.8,8.8,2020-05-11
Divine Visitation,False,1,12.31,12.31,2020-05-11
"Nicol Bolas, Dragon-God",False,1,8.25,8.25,2020-05-11
Dryad of the Ilysian Grove (Extended Art),False,1,13.49,13.49,2020-05-11
