name,isFoil,Qtty,Bought_price,Current_price,Bought_date
Godless Shrine,False,1,8.22,8.22,2020-05-07
Assassin's Trophy,True,1,22.56,21.56,2020-05-07
Watery Grave,False,1,9.02,8.86,2020-05-07
Shadowspear (Extended Art),True,1,31.74,31.74,2020-05-07
Steam Vents,True,1,21.08,21.08,2020-05-08
Overgrown Tomb,False,1,11.0,10.98,2020-05-08
Temple Garden,False,1,9.5,8.8,2020-05-08
Dryad of the Ilysian Grove,True,1,9.88,8.89,2020-05-08
Breeding Pool,False,1,25.99,25.99,2020-05-10
Hydroid Krasis,False,1,17.5,17.5,2020-05-10
"Golos, Tireless Pilgrim",True,1,11.23,11.23,2020-05-10
Leyline of the Void,False,1,8.98,8.98,2020-05-10
Finale of Devastation,False,1,11.99,11.99,2020-05-10
"Thassa, Deep-Dwelling",True,1,10.99,10.99,2020-05-10
Dryad of the Ilysian Grove,False,1,7.77,7.77,2020-05-10
"Uro, Titan of Nature's Wrath",False,1,43.49,43.49,2020-05-10
Fabled Passage,False,1,9.43,9.43,2020-05-10
