name,isFoil,Qtty,Bought_price,Current_price,Bought_date
"Ajani, Strength of the Pride",False,1,10.2,9.99,2020-03-13
Sacred Foundry,True,1,11.08,11.08,2020-03-13
Overgrown Tomb,False,1,10.52,10.37,2020-03-13
Smothering Tithe,True,1,27.08,27.08,2020-03-14
Embercleave,False,1,15.48,15.48,2020-03-14
"Chandra, Awakened Inferno",False,2,10.594999999999999,10.25,2020-03-16
Divine Visitation,True,1,14.22,14.22,2020-03-15
Fabled Passage,False,1,16.2,16.2,2020-03-15
Breeding Pool,False,1,21.0,21.0,2020-03-16
Brazen Borrower,False,1,20.83,20.83,2020-03-16
