name,isFoil,Qtty,Bought_price,Current_price,Bought_date
Breeding Pool,True,1,37.42,37.21,2020-05-24
Godless Shrine,False,1,8.2,8.2,2020-05-24
"Mu Yanling, Sky Dancer",True,1,7.99,7.99,2020-05-24
Watery Grave,True,1,20.0,20.0,2020-05-24
Spark Double,True,1,10.47,10.47,2020-05-24
Breeding Pool,False,1,25.25,25.25,2020-05-25
Field of the Dead,True,1,14.0,14.0,2020-05-25
Chromatic Lantern,False,1,7.08,6.99,2020-05-25
Overgrown Tomb,False,1,11.99,11.99,2020-05-25
Temple of Abandon (Extended Art),True,1,7.99,7.99,2020-05-25
Assassin's Trophy,True,1,27.99,27.99,2020-05-26
Steam Vents,False,1,11.75,11.75,2020-05-26
Underrealm Lich,False,1,7.24,7.24,2020-05-26
"Nicol Bolas, Dragon-God",False,1,9.23,9.23,2020-05-26
Dream Trawler (Extended Art),True,1,13.55,13.55,2020-05-26
Nyxbloom Ancient,True,1,19.49,19.49,2020-05-26
"Kroxa, Titan of Death's Hunger (Extended Art)",False,1,34.91,34.91,2020-05-26
Fabled Passage,False,1,10.99,10.99,2020-05-26
