name,isFoil,Qtty,Bought_price,Current_price,Bought_date
Smothering Tithe,True,1,37.75,37.75,2020-06-30
"Omnath, Locus of the Roil",True,1,7.99,7.99,2020-06-30
"Ajani, Strength of the Pride",False,1,10.97,10.97,2020-06-30
Leyline of the Void,False,1,7.56,7.56,2020-06-30
Temple Garden,True,1,14.71,14.71,2020-06-30
Divine Visitation,False,1,12.38,12.38,2020-06-30
Finale of Devastation,True,1,33.0,33.0,2020-06-30
"Teferi, Time Raveler",False,1,13.76,13.76,2020-06-30
Nyx Lotus (Extended Art),True,1,27.97,27.97,2020-06-30
Nyxbloom Ancient,True,1,21.99,21.99,2020-06-30
Underworld Breach (Extended Art),True,1,25.9,25.9,2020-06-30
"Uro, Titan of Nature's Wrath",True,1,53.99,53.99,2020-06-30
Dryad of the Ilysian Grove (Extended Art),False,1,13.99,13.99,2020-06-30
"Heliod, Sun-Crowned",False,1,10.69,10.69,2020-06-30
Thassa's Oracle (Extended Art),False,1,9.99,9.99,2020-06-30
"Uro, Titan of Nature's Wrath (Extended Art)",False,1,64.99,64.99,2020-06-30
Embercleave,False,1,8.23,8.23,2020-06-30
"Oko, Thief of Crowns",False,1,13.21,13.21,2020-06-30
Questing Beast,False,1,13.43,13.43,2020-06-30
The Great Henge,False,1,23.23,23.23,2020-06-30
