name,isFoil,Qtty,Bought_price,Current_price,Bought_date
Breeding Pool,True,1,32.74,25.95,2020-03-11
Hydroid Krasis,True,1,27.7,27.7,2020-03-11
"Kaya, Orzhov Usurper",True,1,9.7,9.7,2020-03-11
Hydroid Krasis,False,1,18.24,17.97,2020-03-11
"Liliana, Dreadhorde General",False,1,15.5,15.38,2020-03-11
Questing Beast,False,1,11.25,10.3,2020-03-11
The Great Henge,False,1,17.44,17.33,2020-03-11
"Ajani, Strength of the Pride",False,1,10.2,9.99,2020-03-13
"Vivien, Arkbow Ranger",False,1,8.49,8.49,2020-03-13
Sacred Foundry,True,1,11.08,11.08,2020-03-13
Overgrown Tomb,False,1,10.52,10.38,2020-03-13
Steam Vents,False,1,11.04,10.49,2020-03-13
"Jace, Wielder of Mysteries",True,1,10.99,10.49,2020-03-13
Smothering Tithe,True,1,27.08,27.08,2020-03-14
Embercleave,False,1,15.48,15.48,2020-03-14
"Chandra, Awakened Inferno",False,1,10.94,10.94,2020-03-15
Leyline of the Void,False,1,8.2,8.2,2020-03-15
Divine Visitation,True,1,14.22,14.22,2020-03-15
Fabled Passage,False,1,16.2,16.2,2020-03-15
