name,isFoil,Qtty,Bought_price,Current_price,Bought_date
Leyline of the Void,True,1,14.98,14.98,2020-03-07
Finale of Devastation,False,1,13.78,13.58,2020-03-07
Fabled Passage,True,1,19.95,19.94,2020-03-07
Mystical Dispute,True,1,7.14,7.1,2020-03-09
Brazen Borrower,False,1,22.33,22.33,2020-03-09
Breeding Pool,True,1,32.74,32.74,2020-03-11
Hydroid Krasis,True,1,27.7,27.7,2020-03-11
"Kaya, Orzhov Usurper",True,1,9.7,9.7,2020-03-11
Blood Crypt,False,1,12.2,12.2,2020-03-11
Hydroid Krasis,False,1,18.24,18.24,2020-03-11
"Liliana, Dreadhorde General",False,1,15.5,15.5,2020-03-11
Brazen Borrower,True,1,26.99,26.99,2020-03-11
Fabled Passage,False,1,15.95,15.95,2020-03-11
Questing Beast,False,1,11.25,11.25,2020-03-11
The Great Henge,False,1,17.44,17.44,2020-03-11
