name,isFoil,Qtty,Bought_price,Current_price,Bought_date
Breeding Pool,True,1,37.42,37.42,2020-05-24
Godless Shrine,False,1,8.2,8.2,2020-05-24
"Mu Yanling, Sky Dancer",True,1,7.99,7.99,2020-05-24
Watery Grave,True,1,20.0,20.0,2020-05-24
Spark Double,True,1,10.47,10.47,2020-05-24
Breeding Pool,False,1,25.25,25.25,2020-05-25
Field of the Dead,True,1,14.0,14.0,2020-05-25
Chromatic Lantern,False,1,7.08,7.08,2020-05-25
Overgrown Tomb,False,1,11.99,11.99,2020-05-25
Temple of Abandon (Extended Art),True,1,7.99,7.99,2020-05-25
