name,isFoil,Qtty,Bought_price,Current_price,Bought_date
"Uro, Titan of Nature's Wrath",True,1,56.74,55.76,2020-06-12
Smothering Tithe,True,1,20.02,20.02,2020-06-14
Hallowed Fountain,False,1,9.4,9.4,2020-06-14
"Sorin, Imperious Bloodlord",False,1,10.49,10.49,2020-06-14
"Niv-Mizzet, Parun",True,1,11.13,11.13,2020-06-14
Steam Vents,True,1,18.97,18.97,2020-06-14
Spark Double,True,1,7.85,7.85,2020-06-14
God-Eternal Kefnet,False,1,7.12,7.12,2020-06-14
"Liliana, Dreadhorde General",False,1,19.54,19.54,2020-06-14
"Teferi, Time Raveler",False,1,19.23,19.23,2020-06-14
"Klothys, God of Destiny",True,1,8.95,8.95,2020-06-14
Nyxbloom Ancient,False,1,14.48,14.48,2020-06-14
The Great Henge,True,1,26.91,26.91,2020-06-14
