name,isFoil,Qtty,Bought_price,Current_price,Bought_date
"Uro, Titan of Nature's Wrath",True,2,56.185,56.16,2020-06-16
"Teferi, Time Raveler",False,1,19.23,18.58,2020-06-14
Temple Garden,True,1,14.66,14.34,2020-06-15
"Klothys, God of Destiny",False,1,7.56,7.41,2020-06-15
Rhythm of the Wild,True,1,7.92,7.89,2020-06-16
Stomping Ground,True,1,20.41,20.4,2020-06-16
Blast Zone,True,1,10.85,10.85,2020-06-16
God-Eternal Kefnet,False,1,7.12,6.98,2020-06-16
"Nicol Bolas, Dragon-God",False,1,12.53,12.46,2020-06-16
"Uro, Titan of Nature's Wrath",False,1,45.25,43.66,2020-06-16
Hydroid Krasis,True,1,28.2,28.2,2020-06-18
Hydroid Krasis,False,1,18.65,18.65,2020-06-18
Aether Gust,True,1,13.99,13.99,2020-06-18
"Niv-Mizzet, Parun",True,1,10.98,10.98,2020-06-18
Sacred Foundry,True,1,15.76,15.76,2020-06-18
Arclight Phoenix,False,1,7.15,7.15,2020-06-18
Assassin's Trophy,False,1,14.23,14.23,2020-06-18
Sacred Foundry,False,1,12.51,12.51,2020-06-18
Dreadhorde Arcanist,True,1,9.08,9.08,2020-06-18
God-Eternal Rhonas,True,1,7.57,7.57,2020-06-18
Finale of Devastation,False,1,17.97,17.97,2020-06-18
Nyxbloom Ancient,False,1,13.67,13.67,2020-06-18
Questing Beast,True,1,18.98,18.98,2020-06-18
Questing Beast,False,1,15.68,15.68,2020-06-18
The Great Henge,False,1,23.67,23.67,2020-06-18
