name,isFoil,Qtty,Bought_price,Current_price,Bought_date
Hallowed Fountain,True,1,20.5,20.5,2020-03-17
Assassin's Trophy,False,1,12.98,12.48,2020-03-17
"Nissa, Who Shakes the World",True,1,11.36,10.81,2020-03-17
Questing Beast,False,1,10.21,9.97,2020-03-17
"Chandra, Awakened Inferno",False,1,10.0,9.98,2020-03-19
Embercleave,False,1,14.41,13.99,2020-03-19
Breeding Pool,False,1,20.7,20.7,2020-03-21
"Vivien, Arkbow Ranger",True,1,11.44,11.44,2020-03-21
Arboreal Grazer,True,1,8.4,8.4,2020-03-21
Brazen Borrower,False,1,21.99,21.99,2020-03-21
"Korvold, Fae-Cursed King",False,1,7.69,7.69,2020-03-21
