name,isFoil,Qtty,Bought_price,Current_price,Bought_date
"Chandra, Awakened Inferno",False,1,10.0,9.97,2020-03-19
Embercleave,False,1,14.41,12.99,2020-03-19
Breeding Pool,False,1,20.7,20.05,2020-03-21
"Vivien, Arkbow Ranger",True,1,11.44,11.44,2020-03-21
Arboreal Grazer,True,1,8.4,8.4,2020-03-21
Brazen Borrower,False,1,21.99,12.99,2020-03-21
"Korvold, Fae-Cursed King",False,1,7.69,7.5,2020-03-21
"Yarok, the Desecrated",True,2,18.025,17.95,2020-03-23
"Sorin, Imperious Bloodlord",False,1,9.0,9.0,2020-03-22
"Vivien, Arkbow Ranger",False,2,8.344999999999999,8.25,2020-03-23
Overgrown Tomb,True,1,14.99,14.99,2020-03-22
"Narset, Parter of Veils",True,1,16.99,16.99,2020-03-22
Spawn of Mayhem,True,1,10.54,10.54,2020-03-23
"Golos, Tireless Pilgrim",True,1,8.8,8.8,2020-03-23
Steam Vents,False,1,9.9,9.9,2020-03-23
"Karn, the Great Creator",True,1,13.49,13.49,2020-03-23
