Placing;Card;Qtty
1;Spikefield Hazard;4
1;Ruin Crab;4
1;Lotus Cobra;4
1;Cultivate;4
1;Uro, Titan of Nature's Wrath;1
1;Glasspool Mimic;3
1;Dryad of the Ilysian Grove;2
1;Omnath, Locus of Creation;4
1;Escape to the Wilds;4
1;Genesis Ultimatum;4
1;Evolving Wilds;3
1;Fabled Passage;4
1;Forest;5
1;Island;4
1;Ketria Triome;3
1;Mountain;2
1;Plains;1
1;Raugrin Triome;2
1;Riverglide Pathway;2
2;Primal Might;3
2;Edgewall Innkeeper;4
2;Spikefield Hazard;1
2;Shatterskull Smashing;1
2;Scavenging Ooze;2
2;Robber of the Rich;4
2;Rimrock Knight;4
2;Lovestruck Beast;4
2;Kazandu Mammoth;4
2;Bonecrusher Giant;4
2;Questing Beast;4
2;Embercleave;4
2;Cragcrown Pathway;4
2;Fabled Passage;2
2;Forest;7
2;Mountain;6
2;Temple of Abandon;2
3;Spikefield Hazard;4
3;Ruin Crab;4
3;Lotus Cobra;4
3;Cultivate;4
3;Uro, Titan of Nature's Wrath;1
3;Glasspool Mimic;3
3;Dryad of the Ilysian Grove;2
3;Omnath, Locus of Creation;4
3;Escape to the Wilds;4
3;Genesis Ultimatum;4
3;Evolving Wilds;3
3;Fabled Passage;4
3;Forest;5
3;Island;4
3;Ketria Triome;3
3;Mountain;2
3;Plains;1
3;Raugrin Triome;2
3;Riverglide Pathway;2
4;Primal Might;3
4;Edgewall Innkeeper;4
4;Spikefield Hazard;1
4;Shatterskull Smashing;1
4;Scavenging Ooze;2
4;Robber of the Rich;4
4;Rimrock Knight;4
4;Lovestruck Beast;4
4;Kazandu Mammoth;4
4;Bonecrusher Giant;4
4;Questing Beast;4
4;Embercleave;4
4;Cragcrown Pathway;4
4;Fabled Passage;2
4;Forest;7
4;Mountain;6
4;Temple of Abandon;2
5;Spikefield Hazard;3
5;Negate;4
5;Shatterskull Smashing;1
5;Lotus Cobra;4
5;Mystical Dispute;3
5;Uro, Titan of Nature's Wrath;2
5;Omnath, Locus of Creation;4
5;Escape to the Wilds;3
5;Kenrith, the Returned King;2
5;Shark Typhoon;2
5;Ugin, the Spirit Dragon;3
5;Branchloft Pathway;2
5;Cragcrown Pathway;2
5;Evolving Wilds;2
5;Fabled Passage;4
5;Field of Ruin;2
5;Forest;3
5;Island;3
5;Ketria Triome;4
5;Mountain;1
5;Plains;1
5;Raugrin Triome;3
5;Riverglide Pathway;2
6;Spikefield Hazard;3
6;Lotus Cobra;4
6;Shatterskull Smashing;1
6;Thundering Rebuke;1
6;Negate;3
6;Mazemind Tome;2
6;Uro, Titan of Nature's Wrath;3
6;Mystical Dispute;3
6;Omnath, Locus of Creation;4
6;Felidar Retreat;1
6;Kenrith, the Returned King;1
6;Escape to the Wilds;3
6;Beanstalk Giant;2
6;Ugin, the Spirit Dragon;2
6;Branchloft Pathway;2
6;Cragcrown Pathway;2
6;Evolving Wilds;2
6;Fabled Passage;4
6;Forest;3
6;Island;3
6;Ketria Triome;3
6;Mountain;1
6;Plains;1
6;Raugrin Triome;4
6;Riverglide Pathway;2
7;Spikefield Hazard;2
7;Thundering Rebuke;2
7;Lotus Cobra;4
7;Mystical Dispute;3
7;Uro, Titan of Nature's Wrath;4
7;Omnath, Locus of Creation;4
7;Escape to the Wilds;4
7;Terror of the Peaks;1
7;Kenrith, the Returned King;1
7;Genesis Ultimatum;3
7;Beanstalk Giant;3
7;Branchloft Pathway;1
7;Cragcrown Pathway;2
7;Evolving Wilds;2
7;Fabled Passage;4
7;Forest;4
7;Island;4
7;Ketria Triome;2
7;Mountain;1
7;Plains;1
7;Raugrin Triome;4
7;Riverglide Pathway;3
7;Temple of Plenty;1
8;Bloodchief's Thirst;4
8;Thassa's Intervention;1
8;Negate;1
8;Eliminate;1
8;Jwari Disruption;2
8;Heartless Act;2
8;Agonizing Remorse;3
8;Scavenging Ooze;1
8;Neutralize;2
8;Bala Ged Recovery;2
8;Uro, Titan of Nature's Wrath;4
8;Hagra Mauling;3
8;Extinction Event;3
8;Ashiok, Nightmare Muse;1
8;Elder Gargaroth;2
8;Garruk, Cursed Huntsman;1
8;Shark Typhoon;4
8;Ugin, the Spirit Dragon;1
8;Clearwater Pathway;4
8;Fabled Passage;4
8;Forest;3
8;Island;2
8;Swamp;2
8;Temple of Malady;3
8;Zagoth Triome;4
