Placing;Card;Qtty
1;Giant Killer;2
1;Edgewall Innkeeper;4
1;Fae of Wishes;4
1;Lucky Clover;4
1;Bonecrusher Giant;4
1;Brazen Borrower;2
1;Lovestruck Beast;3
1;Omnath, Locus of Creation;4
1;Escape to the Wilds;3
1;Beanstalk Giant;4
1;Branchloft Pathway;3
1;Cragcrown Pathway;4
1;Fabled Passage;4
1;Forest;4
1;Island;3
1;Ketria Triome;1
1;Mountain;2
1;Plains;1
1;Raugrin Triome;3
1;Riverglide Pathway;1
2;Spikefield Hazard;2
2;Bloodchief's Thirst;3
2;Magmatic Channeler;4
2;Kroxa, Titan of Death's Hunger;4
2;Mire Triton;4
2;Heartless Act;2
2;Shatterskull Smashing;3
2;Bonecrusher Giant;4
2;Murderous Rider;2
2;Nighthawk Scavenger;2
2;Agadeem's Awakening;1
2;Tymaret Calls the Dead;4
2;Rankle, Master of Pranks;2
2;Liliana, Waker of the Dead;2
2;Hagra Mauling;2
2;Castle Locthwain;1
2;Fabled Passage;4
2;Mountain;4
2;Swamp;6
2;Temple of Malice;4
3;The Birth of Meletis;2
3;Drown in the Loch;2
3;Heartless Act;2
3;Confounding Conundrum;4
3;Omen of the Sea;4
3;Dance of the Manse;3
3;Omen of the Sun;2
3;Pelakka Predation;1
3;Treacherous Blessing;3
3;Mystical Dispute;3
3;Doom Foretold;4
3;Shatter the Sky;3
3;Yorion, Sky Nomad;2
3;Brightclimb Pathway;3
3;Clearwater Pathway;4
3;Fabled Passage;4
3;Island;2
3;Plains;4
3;Swamp;2
3;Temple of Deceit;2
3;Temple of Enlightenment;3
3;Temple of Silence;1
4;Spikefield Hazard;2
4;Bloodchief's Thirst;2
4;Mire Triton;4
4;Magmatic Channeler;4
4;Kroxa, Titan of Death's Hunger;4
4;Shredded Sails;1
4;Heartless Act;2
4;Shatterskull Smashing;3
4;Bonecrusher Giant;4
4;Agadeem's Awakening;1
4;Tymaret Calls the Dead;4
4;Rankle, Master of Pranks;3
4;Hagra Mauling;2
4;Terror of the Peaks;2
4;Ox of Agonas;2
4;Castle Locthwain;1
4;Fabled Passage;4
4;Mountain;5
4;Swamp;6
4;Temple of Malice;4
5;Cling to Dust;1
5;Thieves' Guild Enforcer;4
5;Merfolk Windrobber;4
5;Lofty Denial;4
5;Drown in the Loch;4
5;Soaring Thought-Thief;4
5;Heartless Act;3
5;Nighthawk Scavenger;2
5;Agadeem's Awakening;3
5;Brazen Borrower;4
5;Rankle, Master of Pranks;4
5;Zareth San, the Trickster;2
5;Castle Locthwain;1
5;Castle Vantress;1
5;Clearwater Pathway;4
5;Island;5
5;Swamp;2
5;Temple of Deceit;4
5;Zagoth Triome;4
6;Edgewall Innkeeper;4
6;Spikefield Hazard;3
6;Primal Might;2
6;Rimrock Knight;4
6;Scavenging Ooze;2
6;Robber of the Rich;4
6;Shatterskull Smashing;2
6;Lovestruck Beast;4
6;Kazandu Mammoth;4
6;Bonecrusher Giant;4
6;Questing Beast;4
6;Embercleave;3
6;The Great Henge;2
6;Cragcrown Pathway;4
6;Fabled Passage;2
6;Forest;6
6;Mountain;4
6;Temple of Abandon;2
8;Giant Killer;2
8;Edgewall Innkeeper;4
8;Fae of Wishes;4
8;Lucky Clover;4
8;Bonecrusher Giant;4
8;Brazen Borrower;2
8;Lovestruck Beast;2
8;Omnath, Locus of Creation;4
8;Escape to the Wilds;3
8;Beanstalk Giant;4
8;Branchloft Pathway;4
8;Cragcrown Pathway;4
8;Fabled Passage;4
8;Forest;2
8;Island;6
8;Ketria Triome;2
8;Mountain;2
8;Plains;1
8;Raugrin Triome;2
