Placing;Card;Qtty
1;Edgewall Innkeeper;4
1;Primal Might;2
1;Rimrock Knight;4
1;Shatterskull Smashing;3
1;Robber of the Rich;4
1;Scavenging Ooze;3
1;Bonecrusher Giant;4
1;Kazandu Mammoth;4
1;Lovestruck Beast;4
1;Questing Beast;4
1;Song-Mad Treachery;1
1;Embercleave;4
1;Turntimber Symbiosis;2
1;Cragcrown Pathway;4
1;Fabled Passage;3
1;Forest;6
1;Mountain;3
1;Temple of Abandon;1
2;Bloodchief's Thirst;3
2;Agonizing Remorse;4
2;Heartless Act;3
2;Negate;1
2;Jwari Disruption;1
2;Cultivate;1
2;Bala Ged Recovery;2
2;Mystical Dispute;2
2;Uro, Titan of Nature's Wrath;4
2;Neutralize;2
2;Extinction Event;2
2;Teferi, Master of Time;2
2;Ashiok, Nightmare Muse;2
2;Shark Typhoon;3
2;Ugin, the Spirit Dragon;1
2;Castle Locthwain;1
2;Castle Vantress;1
2;Clearwater Pathway;4
2;Fabled Passage;4
2;Forest;2
2;Island;3
2;Swamp;3
2;Temple of Deceit;2
2;Temple of Malady;1
2;Temple of Mystery;2
2;Zagoth Triome;4
3;Bloodchief's Thirst;4
3;Agonizing Remorse;3
3;Heartless Act;2
3;Jwari Disruption;3
3;Bala Ged Recovery;2
3;Mystical Dispute;2
3;Neutralize;4
3;Uro, Titan of Nature's Wrath;4
3;Hagra Mauling;1
3;Extinction Event;3
3;Ashiok, Nightmare Muse;1
3;Elder Gargaroth;2
3;Shark Typhoon;4
3;Ugin, the Spirit Dragon;1
3;Castle Vantress;1
3;Clearwater Pathway;4
3;Fabled Passage;4
3;Forest;3
3;Island;3
3;Swamp;1
3;Temple of Deceit;1
3;Temple of Malady;2
3;Temple of Mystery;1
3;Zagoth Triome;4
3;Bloodchief's Thirst;4
3;Heartless Act;3
3;Eliminate;2
3;Negate;1
3;Jwari Disruption;1
3;Agonizing Remorse;3
3;Cultivate;1
3;Uro, Titan of Nature's Wrath;4
3;Neutralize;4
3;Pelakka Predation;1
3;Bala Ged Recovery;2
3;Hagra Mauling;1
3;Extinction Event;2
3;Elder Gargaroth;2
3;Ashiok, Nightmare Muse;2
3;Shark Typhoon;4
3;Ugin, the Spirit Dragon;1
3;Clearwater Pathway;3
3;Fabled Passage;4
3;Forest;2
3;Island;3
3;Swamp;2
3;Temple of Deceit;1
3;Temple of Malady;1
3;Temple of Mystery;2
3;Zagoth Triome;4
5;Spikefield Hazard;3
5;Lotus Cobra;4
5;Bala Ged Recovery;1
5;Bonecrusher Giant;2
5;Cultivate;2
5;Dryad of the Ilysian Grove;1
5;Uro, Titan of Nature's Wrath;4
5;Felidar Retreat;1
5;Omnath, Locus of Creation;4
5;Escape to the Wilds;4
5;Kenrith, the Returned King;1
5;Genesis Ultimatum;3
5;Ugin, the Spirit Dragon;3
5;Branchloft Pathway;3
5;Cragcrown Pathway;4
5;Fabled Passage;4
5;Forest;2
5;Island;3
5;Ketria Triome;3
5;Mountain;1
5;Plains;1
5;Raugrin Triome;3
5;Riverglide Pathway;3
5;Spikefield Hazard;2
5;Lotus Cobra;4
5;Uro, Titan of Nature's Wrath;4
5;Bonecrusher Giant;3
5;Cultivate;2
5;Dryad of the Ilysian Grove;1
5;Mystical Dispute;1
5;Omnath, Locus of Creation;4
5;Felidar Retreat;2
5;Escape to the Wilds;3
5;Kenrith, the Returned King;1
5;Terror of the Peaks;1
5;Genesis Ultimatum;3
5;Ugin, the Spirit Dragon;1
5;Branchloft Pathway;2
5;Cragcrown Pathway;4
5;Fabled Passage;4
5;Forest;4
5;Island;2
5;Ketria Triome;4
5;Mountain;1
5;Plains;1
5;Raugrin Triome;2
5;Riverglide Pathway;4
5;Spikefield Hazard;4
5;Lotus Cobra;4
5;Bonecrusher Giant;3
5;Dryad of the Ilysian Grove;1
5;Uro, Titan of Nature's Wrath;4
5;Cultivate;1
5;Felidar Retreat;3
5;Omnath, Locus of Creation;4
5;Escape to the Wilds;4
5;Kenrith, the Returned King;1
5;Genesis Ultimatum;3
5;Ugin, the Spirit Dragon;1
5;Branchloft Pathway;3
5;Cragcrown Pathway;3
5;Evolving Wilds;3
5;Fabled Passage;4
5;Forest;5
5;Island;3
5;Mountain;2
5;Plains;1
5;Raugrin Triome;3
5;Erebos's Intervention;1
5;Bloodchief's Thirst;4
5;Jwari Disruption;2
5;Agonizing Remorse;2
5;Heartless Act;2
5;Drown in the Loch;2
5;Mystical Dispute;4
5;Silundi Vision;1
5;Brazen Borrower;4
5;Bala Ged Recovery;1
5;Uro, Titan of Nature's Wrath;4
5;Extinction Event;1
5;Hagra Mauling;2
5;Zareth San, the Trickster;1
5;Elder Gargaroth;2
5;Ashiok, Nightmare Muse;2
5;Shark Typhoon;3
5;Ugin, the Spirit Dragon;1
5;Castle Locthwain;1
5;Castle Vantress;1
5;Clearwater Pathway;4
5;Fabled Passage;4
5;Forest;2
5;Island;2
5;Swamp;3
5;Zagoth Triome;4
