Placing;Card;Qtty
1;Lotus Cobra;4
1;Glasspool Mimic;1
1;Radha, Heart of Keld;2
1;Bonecrusher Giant;4
1;Uro, Titan of Nature's Wrath;4
1;Omnath, Locus of Creation;4
1;Migration Path;2
1;Kenrith, the Returned King;1
1;Terror of the Peaks;4
1;Beanstalk Giant;2
1;Genesis Ultimatum;4
1;Branchloft Pathway;3
1;Cragcrown Pathway;4
1;Fabled Passage;4
1;Forest;2
1;Island;3
1;Ketria Triome;4
1;Mountain;1
1;Plains;1
1;Raugrin Triome;2
1;Riverglide Pathway;4
2;Primal Might;2
2;Edgewall Innkeeper;4
2;Robber of the Rich;4
2;Rimrock Knight;4
2;Scavenging Ooze;3
2;Shatterskull Smashing;3
2;Bonecrusher Giant;4
2;Lovestruck Beast;4
2;Garruk's Harbinger;3
2;Radha, Heart of Keld;1
2;Questing Beast;4
2;Embercleave;4
2;Turntimber Symbiosis;4
2;Cragcrown Pathway;2
2;Fabled Passage;2
2;Forest;5
2;Mountain;5
2;Temple of Abandon;2
3;Primal Might;2
3;Edgewall Innkeeper;4
3;Robber of the Rich;4
3;Rimrock Knight;4
3;Scavenging Ooze;3
3;Shatterskull Smashing;3
3;Bonecrusher Giant;4
3;Lovestruck Beast;4
3;Garruk's Harbinger;3
3;Radha, Heart of Keld;1
3;Questing Beast;4
3;Embercleave;4
3;Turntimber Symbiosis;4
3;Cragcrown Pathway;3
3;Fabled Passage;2
3;Forest;5
3;Mountain;4
3;Temple of Abandon;2
3;Spikefield Hazard;3
3;Lotus Cobra;4
3;Dryad of the Ilysian Grove;2
3;Bonecrusher Giant;2
3;Uro, Titan of Nature's Wrath;4
3;Cultivate;1
3;Omnath, Locus of Creation;4
3;Kenrith, the Returned King;1
3;Escape to the Wilds;4
3;Genesis Ultimatum;4
3;Ugin, the Spirit Dragon;2
3;Branchloft Pathway;4
3;Cragcrown Pathway;4
3;Evolving Wilds;2
3;Fabled Passage;4
3;Forest;3
3;Island;3
3;Ketria Triome;4
3;Mountain;2
3;Plains;1
3;Riverglide Pathway;2
5;Gilded Goose;2
5;Lotus Cobra;4
5;Uro, Titan of Nature's Wrath;4
5;Azusa, Lost but Seeking;2
5;Cultivate;4
5;Omnath, Locus of Creation;3
5;Mythos of Illuna;2
5;Kenrith, the Returned King;2
5;Moraug, Fury of Akoum;2
5;Shark Typhoon;3
5;Genesis Ultimatum;4
5;Ugin, the Spirit Dragon;2
5;Castle Vantress;2
5;Fabled Passage;4
5;Forest;3
5;Island;2
5;Ketria Triome;3
5;Mountain;3
5;Plains;1
5;Raugrin Triome;2
5;Temple of Enlightenment;1
5;Temple of Mystery;3
5;Temple of Plenty;2
5;Spikefield Hazard;2
5;Ilysian Caryatid;3
5;Lotus Cobra;4
5;Uro, Titan of Nature's Wrath;4
5;Cultivate;2
5;Omnath, Locus of Creation;4
5;Felidar Retreat;3
5;Kenrith, the Returned King;2
5;Escape to the Wilds;4
5;Genesis Ultimatum;4
5;Branchloft Pathway;2
5;Cragcrown Pathway;4
5;Evolving Wilds;3
5;Fabled Passage;4
5;Forest;4
5;Island;3
5;Mountain;2
5;Plains;1
5;Raugrin Triome;3
5;Riverglide Pathway;2
5;Spikefield Hazard;4
5;Lotus Cobra;4
5;Shatterskull Smashing;3
5;Dryad of the Ilysian Grove;2
5;Uro, Titan of Nature's Wrath;4
5;Omnath, Locus of Creation;4
5;Kenrith, the Returned King;1
5;Terror of the Peaks;3
5;Escape to the Wilds;4
5;Genesis Ultimatum;4
5;Ugin, the Spirit Dragon;2
5;Branchloft Pathway;3
5;Cragcrown Pathway;4
5;Fabled Passage;4
5;Forest;2
5;Island;2
5;Ketria Triome;4
5;Mountain;1
5;Plains;1
5;Raugrin Triome;2
5;Riverglide Pathway;2
5;Spikefield Hazard;2
5;Ilysian Caryatid;3
5;Lotus Cobra;4
5;Uro, Titan of Nature's Wrath;4
5;Cultivate;2
5;Omnath, Locus of Creation;4
5;Felidar Retreat;4
5;Escape to the Wilds;4
5;Kenrith, the Returned King;2
5;Genesis Ultimatum;3
5;Branchloft Pathway;2
5;Cragcrown Pathway;4
5;Evolving Wilds;3
5;Fabled Passage;4
5;Forest;4
5;Island;3
5;Mountain;2
5;Plains;1
5;Raugrin Triome;3
5;Riverglide Pathway;2
