name,isFoil,Qtty,Bought_price,Current_price,Bought_date
Blood Crypt,False,1,12.99,12.88,2020-03-05
Field of the Dead,True,1,13.25,13.24,2020-03-05
"Golos, Tireless Pilgrim",True,1,9.0,9.0,2020-03-05
Leyline of the Void,False,1,9.0,8.24,2020-03-05
"Oko, Thief of Crowns",False,1,11.9,11.54,2020-03-05
Blood Crypt,True,1,17.98,17.98,2020-03-06
Fabled Passage,False,2,14.24,13.99,2020-03-08
Leyline of the Void,True,1,14.98,14.98,2020-03-07
Overgrown Tomb,False,2,10.485,10.38,2020-03-08
Finale of Devastation,False,1,13.78,13.78,2020-03-07
Fabled Passage,True,1,19.95,19.95,2020-03-07
Questing Beast,False,1,11.69,11.69,2020-03-07
Assassin's Trophy,False,1,12.99,12.99,2020-03-08
Brazen Borrower,True,1,26.99,26.99,2020-03-08
