name,isFoil,Qtty,Bought_price,Current_price,Bought_date
Idyllic Tutor (Extended Art),True,1,17.27,16.9,2020-04-01
Lotus Field,True,2,11.84,11.78,2020-04-04
"Teferi, Time Raveler",False,1,13.85,13.45,2020-04-03
"Thassa, Deep-Dwelling (Showcase)",True,1,16.49,16.49,2020-04-03
Divine Visitation,False,1,9.49,9.96,2020-04-04
Questing Beast,False,1,8.95,9.17,2020-04-06
Breeding Pool,True,1,34.49,34.49,2020-04-07
Assassin's Trophy,False,1,8.63,8.63,2020-04-07
Overgrown Tomb,False,1,8.99,8.99,2020-04-07
Sacred Foundry,False,1,7.85,7.85,2020-04-07
Steam Vents,False,1,8.15,8.15,2020-04-07
"Nicol Bolas, Dragon-God",True,1,12.84,12.84,2020-04-07
Finale of Devastation,False,1,10.36,10.36,2020-04-07
"Heliod, Sun-Crowned",True,1,12.49,12.49,2020-04-07
Underworld Breach (Extended Art),True,1,19.99,19.99,2020-04-07
"Heliod, Sun-Crowned (Showcase)",False,1,9.99,9.99,2020-04-07
Shadowspear (Extended Art),False,1,8.17,8.17,2020-04-07
"Thassa, Deep-Dwelling (Showcase)",False,1,10.25,10.25,2020-04-07
Brazen Borrower,False,1,10.67,10.67,2020-04-07
