name,isFoil,Qtty,Bought_price,Current_price,Bought_date
"Chandra, Awakened Inferno",False,1,10.0,9.98,2020-03-19
"Vivien, Arkbow Ranger",False,2,8.655,8.44,2020-03-22
Embercleave,False,1,14.41,13.49,2020-03-19
Breeding Pool,False,1,20.7,20.67,2020-03-21
"Vivien, Arkbow Ranger",True,1,11.44,11.44,2020-03-21
Arboreal Grazer,True,1,8.4,8.4,2020-03-21
Brazen Borrower,False,1,21.99,14.45,2020-03-21
"Korvold, Fae-Cursed King",False,1,7.69,7.69,2020-03-21
"Yarok, the Desecrated",True,1,18.1,18.1,2020-03-22
"Sorin, Imperious Bloodlord",False,1,9.0,9.0,2020-03-22
Overgrown Tomb,True,1,14.99,14.99,2020-03-22
"Narset, Parter of Veils",True,1,16.99,16.99,2020-03-22
