name,isFoil,Qtty,Bought_price,Current_price,Bought_date
Mystical Dispute,True,1,7.14,7.1,2020-03-09
Brazen Borrower,False,1,22.33,20.83,2020-03-09
Breeding Pool,True,1,32.74,31.0,2020-03-11
Hydroid Krasis,True,1,27.7,27.7,2020-03-11
"Kaya, Orzhov Usurper",True,1,9.7,9.7,2020-03-11
Hydroid Krasis,False,1,18.24,17.78,2020-03-11
"Liliana, Dreadhorde General",False,1,15.5,14.98,2020-03-11
Brazen Borrower,True,1,26.99,26.99,2020-03-11
Fabled Passage,False,1,15.95,16.5,2020-03-11
Questing Beast,False,1,11.25,11.17,2020-03-11
The Great Henge,False,1,17.44,16.95,2020-03-11
"Ajani, Strength of the Pride",False,1,10.2,10.2,2020-03-13
Leyline of the Void,False,1,8.5,8.5,2020-03-13
"Vivien, Arkbow Ranger",False,1,8.49,8.49,2020-03-13
Sacred Foundry,True,1,11.08,11.08,2020-03-13
Assassin's Trophy,False,1,13.2,13.2,2020-03-13
Overgrown Tomb,False,1,10.52,10.52,2020-03-13
Steam Vents,False,1,11.04,11.04,2020-03-13
"Jace, Wielder of Mysteries",True,1,10.99,10.99,2020-03-13
