name,isFoil,Qtty,Bought_price,Current_price,Bought_date
Idyllic Tutor (Extended Art),True,1,17.27,17.26,2020-04-01
Lotus Field,True,2,11.84,10.69,2020-04-04
"Teferi, Time Raveler",False,1,13.85,13.5,2020-04-03
"Thassa, Deep-Dwelling (Showcase)",True,1,16.49,16.49,2020-04-03
Divine Visitation,False,1,9.49,9.85,2020-04-04
Temple Garden,False,2,8.32,9.19,2020-04-05
"Karn, the Great Creator",True,1,11.69,11.69,2020-04-06
"Kroxa, Titan of Death's Hunger",False,1,14.95,14.95,2020-04-06
Embercleave,True,1,11.68,11.68,2020-04-06
Questing Beast,True,1,10.45,10.45,2020-04-06
Questing Beast,False,1,8.95,8.95,2020-04-06
