name,isFoil,Qtty,Bought_price,Current_price,Bought_date
Breeding Pool,True,1,34.49,25.42,2020-04-07
"Heliod, Sun-Crowned",True,1,12.49,11.66,2020-04-07
Lotus Field,True,2,10.99,10.99,2020-04-10
"Yarok, the Desecrated",True,2,17.189999999999998,12.92,2020-04-09
Overgrown Tomb,True,1,17.17,17.67,2020-04-08
"Polukranos, Unchained (Extended Art)",True,1,17.91,17.91,2020-04-08
Thassa's Oracle (Extended Art),False,1,7.75,7.69,2020-04-08
"Sorin, Imperious Bloodlord",False,1,8.19,8.6,2020-04-09
"Heliod, Sun-Crowned",False,1,9.99,9.99,2020-04-10
Nyxbloom Ancient (Extended Art),False,1,17.49,17.49,2020-04-10
Embercleave,True,2,9.92,9.4,2020-04-11
Fabled Passage,True,2,13.455,12.74,2020-04-11
The Great Henge,False,1,14.89,14.89,2020-04-10
Divine Visitation,False,1,9.99,9.99,2020-04-11
Temple Garden,False,1,9.09,9.09,2020-04-11
"Klothys, God of Destiny (Showcase)",True,1,9.18,9.18,2020-04-11
Nadir Kraken (Extended Art),True,1,7.47,7.47,2020-04-11
