name,isFoil,Qtty,Bought_price,Current_price,Bought_date
Breeding Pool,True,1,33.0,33.99,2020-04-28
Narset's Reversal,True,1,7.13,7.13,2020-04-28
Lotus Field,True,1,10.55,11.34,2020-04-29
Assassin's Trophy,True,1,21.66,21.66,2020-04-29
Chromatic Lantern,True,1,7.95,8.99,2020-04-29
Divine Visitation,True,1,14.65,14.65,2020-04-29
Underworld Breach (Extended Art),True,1,16.98,17.97,2020-04-29
"Kroxa, Titan of Death's Hunger",False,1,18.72,18.98,2020-04-29
"Yarok, the Desecrated",False,1,7.49,7.49,2020-05-01
"Heliod, Sun-Crowned (Showcase)",True,1,17.44,17.44,2020-05-01
Temple of Plenty (Extended Art),True,1,7.23,7.23,2020-05-01
"Thassa, Deep-Dwelling (Showcase)",True,1,19.25,19.25,2020-05-01
"Thassa, Deep-Dwelling (Showcase)",False,1,9.72,9.72,2020-05-01
"Uro, Titan of Nature's Wrath",False,1,41.9,41.9,2020-05-01
Embercleave,False,1,9.03,9.03,2020-05-01
"Oko, Thief of Crowns",False,1,9.84,9.84,2020-05-01
Questing Beast,False,1,8.78,8.78,2020-05-01
