name,isFoil,Qtty,Bought_price,Current_price,Bought_date
Lotus Field,True,2,10.99,10.98,2020-04-10
Thassa's Oracle (Extended Art),False,1,7.75,7.64,2020-04-08
"Heliod, Sun-Crowned",False,1,9.99,10.95,2020-04-10
Nyxbloom Ancient (Extended Art),False,1,17.49,17.5,2020-04-10
Embercleave,True,2,9.92,12.83,2020-04-11
Fabled Passage,True,2,13.455,14.16,2020-04-11
The Great Henge,False,1,14.89,14.79,2020-04-10
Nadir Kraken (Extended Art),True,1,7.47,7.45,2020-04-11
Veil of Summer,True,1,27.98,27.98,2020-04-13
Embercleave,False,1,8.96,8.96,2020-04-13
Questing Beast,False,1,9.56,9.56,2020-04-13
